,Data,Sex,Strain
0,10.485450878349225,M,Wild Type
1,11.747947754688008,M,Wild Type
2,13.412580035951615,M,Wild Type
3,12.910095255706723,M,Wild Type
4,10.367770448744894,M,Wild Type
5,11.698421770214246,M,Wild Type
6,11.583152773548994,M,Wild Type
7,11.447348919132303,M,Wild Type
8,10.852276193172292,M,Wild Type
9,11.285897418686886,M,Wild Type
10,8.250013099076028,F,Wild Type
11,8.453839319273994,F,Wild Type
12,9.7066048378326,F,Wild Type
13,9.522116377886057,F,Wild Type
14,8.583212460462807,F,Wild Type
15,9.835001710250664,F,Wild Type
16,10.532096024212644,F,Wild Type
17,9.39416641205885,F,Wild Type
18,8.739472657788586,F,Wild Type
19,10.892393989181091,F,Wild Type
20,20.127062783467547,M,Mutant
21,20.068146989999487,M,Mutant
22,21.21514789425864,M,Mutant
23,20.706415776021682,M,Mutant
24,18.074795150066482,M,Mutant
25,20.367624030488923,M,Mutant
26,20.15252057842616,M,Mutant
27,19.392475812028557,M,Mutant
28,18.52434071242466,M,Mutant
29,20.325026291142493,M,Mutant
30,25.946384142048288,F,Mutant
31,23.464870130156804,F,Mutant
32,22.98948033878886,F,Mutant
33,25.324375954393957,F,Mutant
34,22.607486877500683,F,Mutant
35,23.052187372765623,F,Mutant
36,25.36903669616981,F,Mutant
37,23.37270897481638,F,Mutant
38,25.215646441257334,F,Mutant
39,24.990504527212263,F,Mutant
